photo_link,student_id,username,first_name,last_name,dob,gender,contact_no,emergency_contact_no,email,address,city,province,admission_date,classes,department,batch_year,type,inserted_on,updated_on
static/assets/img/profiles/avatar-01.jpg,899159766521,harshitpatel10,harshit,gadhiya,18-01-2024,Male,+31 9348343848,+31 9343834984,a10@gmail.com,ahmedabad,Schiedam,South Holland,18-01-2024,D,Standard-8,2020,student,01-18-2024 20:20:37,01-18-2024 20:20:37
static/assets/img/profiles/avatar-01.jpg,899159766522,harshitpatel11,harshit,gadhiya,18-01-2024,Female,+31 9348343848,+31 9343834984,a11@gmail.com,ahmedabad,Alkmaar,North Holland,18-01-2024,A,Standard-7,2020,student,01-18-2024 20:20:37,01-18-2024 20:20:37
static/assets/img/profiles/avatar-01.jpg,899159766523,harshitpatel12,harshit,gadhiya,18-01-2024,Female,+31 9348343848,+31 9343834984,a12@gmail.com,ahmedabad,Rotterdam,South Holland,18-01-2024,C,11-science,2020,student,01-18-2024 20:20:37,01-18-2024 20:20:37
static/assets/img/profiles/avatar-01.jpg,899159766524,harshitpatel13,harshit,gadhiya,18-01-2024,Male,+31 9348343848,+31 9343834984,a13@gmail.com,ahmedabad,Hoofddorp,North Holland,18-01-2024,C,12-arts,2020,student,01-18-2024 20:20:37,01-18-2024 20:20:37
static/assets/img/profiles/avatar-01.jpg,899159766525,harshitpatel14,harshit,gadhiya,18-01-2024,Male,+31 9348343848,+31 9343834984,a14@gmail.com,ahmedabad,Amersfoort,Utrecht,18-01-2024,C,Standard-8,2020,student,01-18-2024 20:20:37,01-18-2024 20:20:37
static/assets/img/profiles/avatar-01.jpg,899159766526,harshitpatel15,harshit,gadhiya,18-01-2024,Female,+31 9348343848,+31 9343834984,a15@gmail.com,ahmedabad,Amersfoort,Utrecht,18-01-2024,A,11-arts,2020,student,01-18-2024 20:20:37,01-18-2024 20:20:37
static/assets/img/profiles/avatar-01.jpg,899159766527,harshitpatel16,harshit,gadhiya,18-01-2024,Female,+31 9348343848,+31 9343834984,a16@gmail.com,ahmedabad,Maastricht,Limburg,18-01-2024,D,11-arts,2020,student,01-18-2024 20:20:37,01-18-2024 20:20:37
static/assets/img/profiles/avatar-01.jpg,899159766528,harshitpatel17,harshit,gadhiya,18-01-2024,Male,+31 9348343848,+31 9343834984,a17@gmail.com,ahmedabad,Utrecht,Utrecht,18-01-2024,D,Standard-8,2020,student,01-18-2024 20:20:37,01-18-2024 20:20:37
static/assets/img/profiles/avatar-01.jpg,899159766529,harshitpatel18,harshit,gadhiya,18-01-2024,Female,+31 9348343848,+31 9343834984,a18@gmail.com,ahmedabad,Den Bosch ('s-Hertogenbosch),North Brabant,18-01-2024,C,Standard-8,2020,student,01-18-2024 20:20:37,01-18-2024 20:20:37
static/assets/img/profiles/avatar-01.jpg,899159766530,harshitpatel19,harshit,gadhiya,18-01-2024,Male,+31 9348343848,+31 9343834984,a19@gmail.com,ahmedabad,Den Bosch ('s-Hertogenbosch),North Brabant,18-01-2024,D,12-arts,2020,student,01-18-2024 20:20:37,01-18-2024 20:20:37
static/assets/img/profiles/avatar-01.jpg,899159766531,harshitpatel20,harshit,gadhiya,18-01-2024,Male,+31 9348343848,+31 9343834984,a20@gmail.com,ahmedabad,Schiedam,South Holland,18-01-2024,D,11-commerce,2020,student,01-18-2024 20:20:37,01-18-2024 20:20:37
static/assets/img/profiles/avatar-01.jpg,899159766532,harshitpatel21,harshit,gadhiya,18-01-2024,Male,+31 9348343848,+31 9343834984,a21@gmail.com,ahmedabad,Lelystad,Flevoland,18-01-2024,A,Standard-8,2020,student,01-18-2024 20:20:37,01-18-2024 20:20:37
static/assets/img/profiles/avatar-01.jpg,899159766533,harshitpatel22,harshit,gadhiya,18-01-2024,Male,+31 9348343848,+31 9343834984,a22@gmail.com,ahmedabad,Nijmegen,Gelderland,18-01-2024,A,Standard-7,2020,student,01-18-2024 20:20:37,01-18-2024 20:20:37
static/assets/img/profiles/avatar-01.jpg,899159766534,harshitpatel23,harshit,gadhiya,18-01-2024,Female,+31 9348343848,+31 9343834984,a23@gmail.com,ahmedabad,Utrecht,Utrecht,18-01-2024,D,12-science,2020,student,01-18-2024 20:20:37,01-18-2024 20:20:37
static/assets/img/profiles/avatar-01.jpg,899159766535,harshitpatel24,harshit,gadhiya,18-01-2024,Male,+31 9348343848,+31 9343834984,a24@gmail.com,ahmedabad,Helmond,North Brabant,18-01-2024,C,Standard-9,2020,student,01-18-2024 20:20:37,01-18-2024 20:20:37
static/assets/img/profiles/avatar-01.jpg,899159766536,harshitpatel25,harshit,gadhiya,18-01-2024,Female,+31 9348343848,+31 9343834984,a25@gmail.com,ahmedabad,Haarlem,North Holland,18-01-2024,D,Standard-10,2020,student,01-18-2024 20:20:37,01-18-2024 20:20:37
static/assets/img/profiles/avatar-01.jpg,899159766537,harshitpatel26,harshit,gadhiya,18-01-2024,Female,+31 9348343848,+31 9343834984,a26@gmail.com,ahmedabad,Leeuwarden,Friesland,18-01-2024,C,11-arts,2020,student,01-18-2024 20:20:37,01-18-2024 20:20:37
